uid,progress_bin,n,accuracy,repeat_rate
7830,0-25%,60,0.9,0.1
7830,25-50%,61,0.885246,0.081967
7830,50-75%,60,0.816667,0.2
7830,75-100%,61,0.786885,0.04918
7834,0-25%,66,0.636364,0.212121
7834,25-50%,67,0.626866,0.19403
7834,50-75%,67,0.731343,0.134328
7834,75-100%,67,0.865672,0.134328
7845,0-25%,121,0.785124,0.033058
7845,25-50%,122,0.762295,0.090164
7845,50-75%,122,0.901639,0.098361
7845,75-100%,122,0.92623,0.262295
7848,0-25%,89,0.685393,0.157303
7848,25-50%,89,0.58427,0.11236
7848,50-75%,89,0.752809,0.089888
7848,75-100%,89,0.707865,0.235955
7850,0-25%,56,0.75,0.071429
7850,25-50%,57,0.719298,0.087719
7850,50-75%,57,0.561404,0.157895
7850,75-100%,57,0.754386,0.122807
7852,0-25%,122,0.663934,0.163934
7852,25-50%,122,0.745902,0.098361
7852,50-75%,122,0.819672,0.204918
7852,75-100%,122,0.795082,0.139344
7855,0-25%,135,0.607407,0.111111
7855,25-50%,135,0.77037,0.074074
7855,50-75%,135,0.814815,0.177778
7855,75-100%,135,0.903704,0.207407
7859,0-25%,64,0.640625,0.140625
7859,25-50%,65,0.738462,0.092308
7859,50-75%,65,0.723077,0.153846
7859,75-100%,65,0.446154,0.261538
7868,0-25%,70,0.885714,0.1
7868,25-50%,70,0.685714,0.128571
7868,50-75%,70,0.357143,0.114286
7868,75-100%,71,0.661972,0.211268
7876,0-25%,95,0.178947,0.115789
7876,25-50%,96,0.489583,0.104167
7876,50-75%,96,0.583333,0.15625
7876,75-100%,96,0.635417,0.104167
7878,0-25%,69,0.594203,0.057971
7878,25-50%,70,0.742857,0.071429
7878,50-75%,69,0.768116,0.086957
7878,75-100%,70,0.585714,0.185714
7885,0-25%,89,0.820225,0.078652
7885,25-50%,90,0.744444,0.166667
7885,50-75%,89,0.910112,0.033708
7885,75-100%,90,0.822222,0.133333
7891,0-25%,127,0.818898,0.125984
7891,25-50%,127,0.740157,0.11811
7891,50-75%,127,0.874016,0.102362
7891,75-100%,128,0.953125,0.203125
7895,0-25%,65,0.938462,0.169231
7895,25-50%,66,0.924242,0.030303
7895,50-75%,66,0.954545,0.121212
7895,75-100%,66,0.984848,0.015152
7898,0-25%,64,0.75,0.140625
7898,25-50%,64,0.671875,0.1875
7898,50-75%,64,0.75,0.109375
7898,75-100%,65,0.846154,0.107692
7900,0-25%,76,0.842105,0.065789
7900,25-50%,76,0.789474,0.039474
7900,50-75%,76,0.815789,0.171053
7900,75-100%,77,0.805195,0.246753
7905,0-25%,101,0.831683,0.09901
7905,25-50%,101,0.762376,0.089109
7905,50-75%,101,0.80198,0.207921
7905,75-100%,101,0.821782,0.168317
7907,0-25%,111,0.405405,0.144144
7907,25-50%,111,0.585586,0.126126
7907,50-75%,111,0.684685,0.18018
7907,75-100%,112,0.580357,0.258929
7909,0-25%,96,0.604167,0.177083
7909,25-50%,97,0.731959,0.041237
7909,50-75%,96,0.708333,0.177083
7909,75-100%,97,0.628866,0.134021
7919,0-25%,112,0.75,0.0625
7919,25-50%,112,0.821429,0.142857
7919,50-75%,112,0.5625,0.089286
7919,75-100%,112,0.928571,0.196429
7925,0-25%,56,0.553571,0.071429
7925,25-50%,57,0.807018,0.105263
7925,50-75%,56,0.732143,0.071429
7925,75-100%,57,0.701754,0.035088
7927,0-25%,96,0.9375,0.104167
7927,25-50%,96,0.822917,0.083333
7927,50-75%,96,0.96875,0.145833
7927,75-100%,96,0.979167,0.21875
7929,0-25%,115,0.756522,0.147826
7929,25-50%,116,0.715517,0.163793
7929,50-75%,116,0.810345,0.112069
7929,75-100%,116,0.689655,0.301724
7930,0-25%,139,0.776978,0.093525
7930,25-50%,139,0.755396,0.107914
7930,50-75%,139,0.834532,0.122302
7930,75-100%,139,0.848921,0.316547
7941,0-25%,91,0.56044,0.175824
7941,25-50%,91,0.857143,0.10989
7941,50-75%,91,0.835165,0.153846
7941,75-100%,91,0.769231,0.098901
7950,0-25%,108,0.740741,0.185185
7950,25-50%,108,0.851852,0.055556
7950,50-75%,108,0.814815,0.148148
7950,75-100%,108,0.777778,0.212963
7954,0-25%,131,0.793893,0.099237
7954,25-50%,131,0.89313,0.091603
7954,50-75%,131,0.885496,0.167939
7954,75-100%,131,0.916031,0.21374
7959,0-25%,81,0.790123,0.098765
7959,25-50%,82,0.926829,0.134146
7959,50-75%,82,0.914634,0.158537
7959,75-100%,82,0.987805,0.195122
7960,0-25%,75,0.813333,0.186667
7960,25-50%,75,0.653333,0.146667
7960,50-75%,75,0.72,0.026667
7960,75-100%,76,0.842105,0.184211
7962,0-25%,57,0.508772,0.192982
7962,25-50%,58,0.844828,0.155172
7962,50-75%,58,0.775862,0.051724
7962,75-100%,58,0.896552,0.12069
7968,0-25%,87,0.83908,0.16092
7968,25-50%,88,0.704545,0.125
7968,50-75%,87,0.804598,0.16092
7968,75-100%,88,0.602273,0.238636
7969,0-25%,123,0.756098,0.170732
7969,25-50%,123,0.666667,0.073171
7969,50-75%,123,0.422764,0.186992
7969,75-100%,124,0.596774,0.193548
7972,0-25%,73,0.630137,0.123288
7972,25-50%,73,0.835616,0.054795
7972,50-75%,73,0.780822,0.328767
7972,75-100%,74,0.77027,0.189189
7974,0-25%,148,0.790541,0.087838
7974,25-50%,149,0.805369,0.073826
7974,50-75%,149,0.879195,0.073826
7974,75-100%,149,0.744966,0.147651
7975,0-25%,142,0.71831,0.112676
7975,25-50%,143,0.888112,0.097902
7975,50-75%,142,0.788732,0.133803
7975,75-100%,143,0.755245,0.20979
7982,0-25%,72,0.75,0.041667
7982,25-50%,72,0.888889,0.180556
7982,50-75%,72,0.805556,0.055556
7982,75-100%,72,0.888889,0.111111
7987,0-25%,93,0.860215,0.075269
7987,25-50%,93,0.903226,0.139785
7987,50-75%,93,0.774194,0.204301
7987,75-100%,93,0.827957,0.204301
7992,0-25%,69,0.594203,0.043478
7992,25-50%,69,0.463768,0.188406
7992,50-75%,69,0.681159,0.014493
7992,75-100%,70,0.628571,0.142857
7993,0-25%,61,0.688525,0.131148
7993,25-50%,62,0.887097,0.048387
7993,50-75%,61,0.737705,0.04918
7993,75-100%,62,0.854839,0.064516
7995,0-25%,80,0.7,0.075
7995,25-50%,80,0.6625,0.2
7995,50-75%,80,0.7375,0.0625
7995,75-100%,80,0.7375,0.1125
7996,0-25%,87,0.471264,0.057471
7996,25-50%,88,0.772727,0.125
7996,50-75%,87,0.91954,0.057471
7996,75-100%,88,0.613636,0.056818
7998,0-25%,61,0.360656,0.016393
7998,25-50%,61,0.278689,0.114754
7998,50-75%,61,0.491803,0.131148
7998,75-100%,61,0.606557,0.229508
8002,0-25%,127,0.480315,0.055118
8002,25-50%,128,0.695312,0.140625
8002,50-75%,127,0.826772,0.141732
8002,75-100%,128,0.875,0.203125
8006,0-25%,112,0.660714,0.160714
8006,25-50%,113,0.690265,0.123894
8006,50-75%,113,0.734513,0.20354
8006,75-100%,113,0.672566,0.185841
8013,0-25%,65,0.6,0.046154
8013,25-50%,65,0.753846,0.076923
8013,50-75%,65,0.769231,0.076923
8013,75-100%,66,0.666667,0.227273
8018,0-25%,76,0.657895,0.065789
8018,25-50%,77,0.701299,0.038961
8018,50-75%,77,0.792208,0.155844
8018,75-100%,77,0.753247,0.116883
8032,0-25%,84,0.845238,0.059524
8032,25-50%,85,0.8,0.152941
8032,50-75%,85,0.894118,0.047059
8032,75-100%,85,0.952941,0.082353
8033,0-25%,94,0.787234,0.085106
8033,25-50%,95,0.715789,0.073684
8033,50-75%,94,0.414894,0.138298
8033,75-100%,95,0.515789,0.2
8034,0-25%,105,0.828571,0.066667
8034,25-50%,106,0.801887,0.113208
8034,50-75%,105,0.8,0.066667
8034,75-100%,106,0.783019,0.169811
8038,0-25%,77,0.909091,0.077922
8038,25-50%,78,0.948718,0.128205
8038,50-75%,78,0.884615,0.089744
8038,75-100%,78,0.897436,0.25641
8039,0-25%,63,0.761905,0.142857
8039,25-50%,63,0.873016,0.015873
8039,50-75%,63,0.825397,0.174603
8039,75-100%,63,0.761905,0.190476
8044,0-25%,71,0.591549,0.098592
8044,25-50%,71,0.971831,0.126761
8044,50-75%,71,0.915493,0.253521
8044,75-100%,72,0.902778,0.194444
8046,0-25%,75,0.666667,0.066667
8046,25-50%,75,0.826667,0.186667
8046,50-75%,75,0.92,0.12
8046,75-100%,75,0.706667,0.2
8051,0-25%,126,0.968254,0.126984
8051,25-50%,127,0.976378,0.102362
8051,50-75%,127,1.0,0.173228
8051,75-100%,127,0.968504,0.23622
8054,0-25%,58,0.724138,0.017241
8054,25-50%,59,0.864407,0.20339
8054,50-75%,59,0.661017,0.050847
8054,75-100%,59,0.915254,0.016949
8065,0-25%,150,0.826667,0.12
8065,25-50%,150,0.846667,0.08
8065,50-75%,150,0.92,0.166667
8065,75-100%,150,0.926667,0.153333
8066,0-25%,79,0.936709,0.025316
8066,25-50%,79,0.949367,0.139241
8066,50-75%,79,0.873418,0.063291
8066,75-100%,80,0.9375,0.225
8072,0-25%,104,0.971154,0.115385
8072,25-50%,104,0.923077,0.134615
8072,50-75%,104,0.971154,0.134615
8072,75-100%,104,0.971154,0.125
8073,0-25%,56,0.892857,0.053571
8073,25-50%,57,0.947368,0.122807
8073,50-75%,56,0.946429,0.125
8073,75-100%,57,0.877193,0.087719
8074,0-25%,69,0.782609,0.043478
8074,25-50%,69,0.797101,0.188406
8074,50-75%,69,0.811594,0.275362
8074,75-100%,69,0.73913,0.15942
8076,0-25%,89,0.88764,0.089888
8076,25-50%,90,0.944444,0.1
8076,50-75%,90,0.822222,0.077778
8076,75-100%,90,0.833333,0.244444
8080,0-25%,80,0.75,0.0875
8080,25-50%,80,0.775,0.0875
8080,50-75%,80,0.9,0.1625
8080,75-100%,80,0.8625,0.0875
8084,0-25%,69,0.927536,0.202899
8084,25-50%,70,0.928571,0.128571
8084,50-75%,70,0.971429,0.128571
8084,75-100%,70,0.971429,0.214286
8087,0-25%,74,0.851351,0.135135
8087,25-50%,75,0.866667,0.106667
8087,50-75%,74,0.878378,0.054054
8087,75-100%,75,0.826667,0.24
8089,0-25%,111,0.954955,0.09009
8089,25-50%,112,0.973214,0.151786
8089,50-75%,111,0.981982,0.171171
8089,75-100%,112,0.946429,0.25
8092,0-25%,108,0.740741,0.148148
8092,25-50%,108,0.796296,0.074074
8092,50-75%,108,0.888889,0.231481
8092,75-100%,108,0.601852,0.231481
8094,0-25%,96,0.6875,0.1875
8094,25-50%,96,0.84375,0.0625
8094,50-75%,96,0.677083,0.125
8094,75-100%,97,0.85567,0.123711
8096,0-25%,120,0.825,0.1
8096,25-50%,121,0.867769,0.090909
8096,50-75%,121,0.826446,0.14876
8096,75-100%,121,0.760331,0.247934
8103,0-25%,59,0.627119,0.118644
8103,25-50%,59,0.661017,0.016949
8103,50-75%,59,0.677966,0.101695
8103,75-100%,60,0.9,0.15
8110,0-25%,61,0.540984,0.163934
8110,25-50%,62,0.629032,0.112903
8110,50-75%,61,0.786885,0.196721
8110,75-100%,62,0.83871,0.258065
8121,0-25%,74,0.864865,0.054054
8121,25-50%,74,0.783784,0.081081
8121,50-75%,74,0.864865,0.054054
8121,75-100%,75,0.853333,0.186667
8127,0-25%,89,0.719101,0.101124
8127,25-50%,89,0.52809,0.134831
8127,50-75%,89,0.764045,0.258427
8127,75-100%,90,0.6,0.188889
8128,0-25%,98,0.826531,0.071429
8128,25-50%,98,0.94898,0.102041
8128,50-75%,98,0.877551,0.173469
8128,75-100%,98,0.755102,0.183673
8129,0-25%,126,0.587302,0.087302
8129,25-50%,127,0.700787,0.102362
8129,50-75%,126,0.769841,0.142857
8129,75-100%,127,0.606299,0.23622
8139,0-25%,80,0.475,0.175
8139,25-50%,81,0.716049,0.024691
8139,50-75%,80,0.6375,0.25
8139,75-100%,81,0.814815,0.160494
8141,0-25%,127,0.866142,0.125984
8141,25-50%,128,0.898438,0.109375
8141,50-75%,127,0.92126,0.15748
8141,75-100%,128,0.890625,0.265625
8142,0-25%,104,0.682692,0.125
8142,25-50%,104,0.75,0.096154
8142,50-75%,104,0.807692,0.192308
8142,75-100%,104,0.778846,0.278846
8144,0-25%,75,0.506667,0.04
8144,25-50%,76,0.75,0.092105
8144,50-75%,75,0.693333,0.226667
8144,75-100%,76,0.539474,0.276316
8146,0-25%,109,0.46789,0.220183
8146,25-50%,110,0.727273,0.127273
8146,50-75%,109,0.587156,0.12844
8146,75-100%,110,0.572727,0.172727
8152,0-25%,71,0.507042,0.056338
8152,25-50%,71,0.535211,0.15493
8152,50-75%,71,0.352113,0.169014
8152,75-100%,72,0.722222,0.166667
8157,0-25%,72,0.527778,0.055556
8157,25-50%,73,0.575342,0.109589
8157,50-75%,72,0.680556,0.263889
8157,75-100%,73,0.452055,0.109589
8162,0-25%,83,0.903614,0.036145
8162,25-50%,83,0.939759,0.13253
8162,50-75%,83,0.879518,0.060241
8162,75-100%,83,0.783133,0.072289
8165,0-25%,101,0.980198,0.118812
8165,25-50%,101,0.960396,0.069307
8165,50-75%,101,0.980198,0.138614
8165,75-100%,101,0.980198,0.257426
8166,0-25%,120,0.825,0.108333
8166,25-50%,120,0.766667,0.175
8166,50-75%,120,0.808333,0.083333
8166,75-100%,120,0.85,0.241667
8170,0-25%,64,0.578125,0.15625
8170,25-50%,65,0.8,0.030769
8170,50-75%,64,0.859375,0.0625
8170,75-100%,65,0.646154,0.215385
8177,0-25%,82,0.658537,0.04878
8177,25-50%,82,0.902439,0.170732
8177,50-75%,82,0.926829,0.02439
8177,75-100%,82,0.926829,0.182927
8183,0-25%,76,0.921053,0.078947
8183,25-50%,76,0.934211,0.013158
8183,50-75%,76,0.973684,0.092105
8183,75-100%,77,0.961039,0.168831
8184,0-25%,70,0.942857,0.114286
8184,25-50%,70,0.885714,0.1
8184,50-75%,70,0.885714,0.1
8184,75-100%,70,0.942857,0.2
8185,0-25%,84,0.904762,0.119048
8185,25-50%,85,0.976471,0.082353
8185,50-75%,85,0.964706,0.058824
8185,75-100%,85,0.835294,0.188235
8189,0-25%,107,0.785047,0.149533
8189,25-50%,108,0.777778,0.111111
8189,50-75%,108,0.935185,0.166667
8189,75-100%,108,0.768519,0.25
8190,0-25%,61,0.47541,0.114754
8190,25-50%,62,0.709677,0.080645
8190,50-75%,61,0.655738,0.065574
8190,75-100%,62,0.629032,0.209677
8191,0-25%,60,0.9,0.15
8191,25-50%,61,0.95082,0.04918
8191,50-75%,61,0.836066,0.114754
8191,75-100%,61,0.868852,0.081967
8197,0-25%,91,0.747253,0.043956
8197,25-50%,91,0.681319,0.043956
8197,50-75%,91,0.648352,0.340659
8197,75-100%,91,0.593407,0.263736
8205,0-25%,114,0.868421,0.087719
8205,25-50%,115,0.852174,0.095652
8205,50-75%,114,0.780702,0.105263
8205,75-100%,115,0.93913,0.269565
8217,0-25%,62,0.919355,0.080645
8217,25-50%,62,0.951613,0.064516
8217,50-75%,62,0.983871,0.241935
8217,75-100%,62,0.983871,0.145161
8218,0-25%,101,0.811881,0.128713
8218,25-50%,102,0.852941,0.088235
8218,50-75%,102,0.882353,0.098039
8218,75-100%,102,0.931373,0.215686
8219,0-25%,113,0.920354,0.017699
8219,25-50%,113,0.893805,0.150442
8219,50-75%,113,0.902655,0.106195
8219,75-100%,113,0.920354,0.168142
8224,0-25%,62,0.983871,0.080645
8224,25-50%,62,0.951613,0.096774
8224,50-75%,62,0.822581,0.129032
8224,75-100%,63,0.920635,0.031746
8229,0-25%,83,0.674699,0.120482
8229,25-50%,84,0.77381,0.095238
8229,50-75%,83,0.819277,0.072289
8229,75-100%,84,0.785714,0.178571
8232,0-25%,65,0.8,0.107692
8232,25-50%,66,0.863636,0.090909
8232,50-75%,66,0.863636,0.106061
8232,75-100%,66,0.757576,0.272727
8233,0-25%,58,0.948276,0.103448
8233,25-50%,59,0.79661,0.152542
8233,50-75%,58,0.87931,0.086207
8233,75-100%,59,0.915254,0.186441
8235,0-25%,77,0.935065,0.168831
8235,25-50%,78,0.897436,0.166667
8235,50-75%,77,0.896104,0.181818
8235,75-100%,78,0.807692,0.217949
8238,0-25%,116,0.767241,0.094828
8238,25-50%,117,0.641026,0.119658
8238,50-75%,117,0.820513,0.136752
8238,75-100%,117,0.769231,0.230769
8239,0-25%,128,0.640625,0.078125
8239,25-50%,128,0.679688,0.09375
8239,50-75%,128,0.664062,0.210938
8239,75-100%,129,0.689922,0.170543
8242,0-25%,164,0.926829,0.158537
8242,25-50%,165,0.933333,0.109091
8242,50-75%,164,0.908537,0.085366
8242,75-100%,165,0.927273,0.230303
8245,0-25%,72,0.472222,0.180556
8245,25-50%,72,0.819444,0.027778
8245,50-75%,72,0.597222,0.125
8245,75-100%,73,0.657534,0.136986
8246,0-25%,119,0.815126,0.117647
8246,25-50%,119,0.823529,0.084034
8246,50-75%,119,0.848739,0.117647
8246,75-100%,120,0.883333,0.191667
8247,0-25%,136,0.772059,0.139706
8247,25-50%,136,0.654412,0.110294
8247,50-75%,136,0.654412,0.169118
8247,75-100%,136,0.720588,0.235294
8255,0-25%,86,0.77907,0.093023
8255,25-50%,86,0.77907,0.05814
8255,50-75%,86,0.755814,0.162791
8255,75-100%,87,0.758621,0.16092
8258,0-25%,93,0.634409,0.086022
8258,25-50%,94,0.574468,0.138298
8258,50-75%,94,0.638298,0.148936
8258,75-100%,94,0.574468,0.117021
8265,0-25%,96,0.927083,0.083333
8265,25-50%,97,0.927835,0.134021
8265,50-75%,96,0.989583,0.114583
8265,75-100%,97,0.927835,0.216495
8267,0-25%,68,0.852941,0.044118
8267,25-50%,69,0.884058,0.115942
8267,50-75%,69,0.971014,0.057971
8267,75-100%,69,0.927536,0.231884
8268,0-25%,112,0.6875,0.089286
8268,25-50%,113,0.654867,0.070796
8268,50-75%,112,0.696429,0.178571
8268,75-100%,113,0.60177,0.19469
8270,0-25%,70,0.442857,0.057143
8270,25-50%,70,0.271429,0.2
8270,50-75%,70,0.371429,0.085714
8270,75-100%,71,0.619718,0.197183
8275,0-25%,81,0.802469,0.123457
8275,25-50%,82,0.878049,0.134146
8275,50-75%,82,0.902439,0.04878
8275,75-100%,82,0.878049,0.085366
8279,0-25%,94,0.723404,0.159574
8279,25-50%,94,0.797872,0.095745
8279,50-75%,94,0.93617,0.095745
8279,75-100%,94,0.957447,0.212766
8281,0-25%,72,0.652778,0.083333
8281,25-50%,73,0.657534,0.123288
8281,50-75%,72,0.694444,0.138889
8281,75-100%,73,0.767123,0.136986
8282,0-25%,65,0.846154,0.123077
8282,25-50%,66,0.954545,0.136364
8282,50-75%,66,0.818182,0.015152
8282,75-100%,66,0.939394,0.090909
8286,0-25%,108,0.925926,0.157407
8286,25-50%,109,0.981651,0.055046
8286,50-75%,108,0.981481,0.185185
8286,75-100%,109,0.954128,0.220183
8295,0-25%,93,0.645161,0.150538
8295,25-50%,93,0.548387,0.075269
8295,50-75%,93,0.645161,0.204301
8295,75-100%,93,0.655914,0.268817
8303,0-25%,74,0.945946,0.202703
8303,25-50%,75,0.8,0.146667
8303,50-75%,74,0.77027,0.054054
8303,75-100%,75,0.786667,0.173333
8304,0-25%,129,0.782946,0.147287
8304,25-50%,130,0.884615,0.061538
8304,50-75%,129,0.899225,0.147287
8304,75-100%,130,0.915385,0.130769
8321,0-25%,94,0.840426,0.085106
8321,25-50%,94,0.904255,0.191489
8321,50-75%,94,0.914894,0.053191
8321,75-100%,95,0.884211,0.210526
8324,0-25%,71,0.676056,0.098592
8324,25-50%,71,0.830986,0.084507
8324,50-75%,71,0.859155,0.140845
8324,75-100%,72,0.847222,0.333333
8325,0-25%,87,0.586207,0.126437
8325,25-50%,87,0.528736,0.091954
8325,50-75%,87,0.494253,0.218391
8325,75-100%,88,0.477273,0.181818
8326,0-25%,76,0.473684,0.236842
8326,25-50%,76,0.605263,0.052632
8326,50-75%,76,0.710526,0.184211
8326,75-100%,76,0.644737,0.210526
8327,0-25%,84,0.714286,0.071429
8327,25-50%,85,0.529412,0.082353
8327,50-75%,85,0.776471,0.2
8327,75-100%,85,0.894118,0.282353
8337,0-25%,121,0.884298,0.07438
8337,25-50%,121,0.867769,0.082645
8337,50-75%,121,0.909091,0.107438
8337,75-100%,121,0.92562,0.256198
8338,0-25%,122,0.901639,0.131148
8338,25-50%,123,0.886179,0.130081
8338,50-75%,122,0.844262,0.106557
8338,75-100%,123,0.780488,0.203252
8340,0-25%,99,0.777778,0.121212
8340,25-50%,99,0.818182,0.111111
8340,50-75%,99,0.79798,0.10101
8340,75-100%,100,0.9,0.25
8345,0-25%,122,0.819672,0.114754
8345,25-50%,122,0.836066,0.114754
8345,50-75%,122,0.92623,0.172131
8345,75-100%,123,0.878049,0.235772
8349,0-25%,66,0.787879,0.060606
8349,25-50%,66,0.712121,0.136364
8349,50-75%,66,0.818182,0.106061
8349,75-100%,66,0.878788,0.287879
8354,0-25%,88,0.443182,0.238636
8354,25-50%,88,0.659091,0.159091
8354,50-75%,88,0.579545,0.079545
8354,75-100%,89,0.719101,0.191011
8358,0-25%,134,0.597015,0.08209
8358,25-50%,134,0.88806,0.074627
8358,50-75%,134,0.880597,0.253731
8358,75-100%,134,0.80597,0.186567
8363,0-25%,97,0.742268,0.14433
8363,25-50%,98,0.755102,0.163265
8363,50-75%,98,0.846939,0.244898
8363,75-100%,98,0.785714,0.193878
8364,0-25%,89,0.876404,0.05618
8364,25-50%,89,0.808989,0.067416
8364,50-75%,89,0.898876,0.101124
8364,75-100%,89,0.955056,0.202247
8365,0-25%,117,0.863248,0.08547
8365,25-50%,118,0.847458,0.118644
8365,50-75%,118,0.940678,0.152542
8365,75-100%,118,0.855932,0.254237
8367,0-25%,67,0.597015,0.134328
8367,25-50%,67,0.358209,0.134328
8367,50-75%,67,0.58209,0.119403
8367,75-100%,67,0.656716,0.179104
8368,0-25%,63,0.68254,0.063492
8368,25-50%,64,0.828125,0.203125
8368,50-75%,63,0.650794,0.063492
8368,75-100%,64,0.78125,0.265625
8369,0-25%,67,0.761194,0.164179
8369,25-50%,67,0.820896,0.179104
8369,50-75%,67,0.820896,0.089552
8369,75-100%,68,0.794118,0.117647
8373,0-25%,76,0.921053,0.157895
8373,25-50%,76,0.960526,0.078947
8373,50-75%,76,0.855263,0.118421
8373,75-100%,76,0.894737,0.065789
8392,0-25%,75,0.72,0.093333
8392,25-50%,76,0.710526,0.131579
8392,50-75%,75,0.76,0.226667
8392,75-100%,76,0.578947,0.118421
8394,0-25%,78,0.871795,0.153846
8394,25-50%,79,0.924051,0.050633
8394,50-75%,78,0.961538,0.192308
8394,75-100%,79,0.886076,0.189873
8398,0-25%,139,0.76259,0.093525
8398,25-50%,140,0.85,0.064286
8398,50-75%,139,0.899281,0.18705
8398,75-100%,140,0.864286,0.228571
8400,0-25%,89,0.651685,0.089888
8400,25-50%,89,0.573034,0.157303
8400,50-75%,89,0.651685,0.157303
8400,75-100%,90,0.488889,0.255556
8402,0-25%,61,0.803279,0.131148
8402,25-50%,61,0.770492,0.065574
8402,50-75%,61,0.721311,0.131148
8402,75-100%,61,0.934426,0.163934
8406,0-25%,118,0.822034,0.144068
8406,25-50%,119,0.831933,0.109244
8406,50-75%,119,0.915966,0.294118
8406,75-100%,119,0.89916,0.210084
8407,0-25%,134,0.701493,0.134328
8407,25-50%,135,0.822222,0.111111
8407,50-75%,134,0.835821,0.134328
8407,75-100%,135,0.807407,0.259259
8409,0-25%,106,0.943396,0.103774
8409,25-50%,107,0.943925,0.11215
8409,50-75%,107,0.878505,0.11215
8409,75-100%,107,0.82243,0.280374
8415,0-25%,158,0.64557,0.101266
8415,25-50%,158,0.658228,0.082278
8415,50-75%,158,0.708861,0.170886
8415,75-100%,159,0.503145,0.207547
8418,0-25%,110,0.754545,0.081818
8418,25-50%,111,0.801802,0.117117
8418,50-75%,111,0.783784,0.243243
8418,75-100%,111,0.792793,0.225225
8423,0-25%,88,0.806818,0.068182
8423,25-50%,89,0.786517,0.213483
8423,50-75%,88,0.863636,0.090909
8423,75-100%,89,0.831461,0.213483
8425,0-25%,70,0.671429,0.114286
8425,25-50%,71,0.802817,0.112676
8425,50-75%,70,0.857143,0.085714
8425,75-100%,71,0.84507,0.239437
8429,0-25%,74,0.675676,0.108108
8429,25-50%,74,0.702703,0.175676
8429,50-75%,74,0.891892,0.162162
8429,75-100%,74,0.932432,0.175676
8431,0-25%,61,0.639344,0.131148
8431,25-50%,61,0.704918,0.04918
8431,50-75%,61,0.737705,0.147541
8431,75-100%,62,0.629032,0.177419
8432,0-25%,82,0.890244,0.097561
8432,25-50%,82,0.95122,0.060976
8432,50-75%,82,0.926829,0.060976
8432,75-100%,83,0.843373,0.096386
8445,0-25%,102,0.578431,0.088235
8445,25-50%,103,0.68932,0.116505
8445,50-75%,103,0.815534,0.135922
8445,75-100%,103,0.854369,0.213592
8446,0-25%,104,0.903846,0.086538
8446,25-50%,104,0.884615,0.086538
8446,50-75%,104,0.903846,0.057692
8446,75-100%,105,0.8,0.085714
8447,0-25%,71,0.873239,0.169014
8447,25-50%,71,0.788732,0.169014
8447,50-75%,71,0.887324,0.070423
8447,75-100%,72,0.930556,0.277778
8453,0-25%,114,0.754386,0.131579
8453,25-50%,114,0.736842,0.114035
8453,50-75%,114,0.72807,0.087719
8453,75-100%,114,0.649123,0.175439
8454,0-25%,99,0.646465,0.141414
8454,25-50%,99,0.777778,0.090909
8454,50-75%,99,0.666667,0.161616
8454,75-100%,99,0.767677,0.212121
8469,0-25%,108,0.796296,0.148148
8469,25-50%,108,0.777778,0.111111
8469,50-75%,108,0.740741,0.101852
8469,75-100%,109,0.678899,0.238532
8473,0-25%,103,0.84466,0.087379
8473,25-50%,103,0.84466,0.126214
8473,50-75%,103,0.854369,0.048544
8473,75-100%,104,0.817308,0.173077
8484,0-25%,78,0.858974,0.051282
8484,25-50%,78,0.75641,0.115385
8484,50-75%,78,0.833333,0.128205
8484,75-100%,79,0.898734,0.164557
8490,0-25%,122,0.786885,0.114754
8490,25-50%,122,0.901639,0.090164
8490,50-75%,122,0.803279,0.131148
8490,75-100%,122,0.581967,0.221311
8492,0-25%,67,0.552239,0.238806
8492,25-50%,67,0.641791,0.19403
8492,50-75%,67,0.791045,0.134328
8492,75-100%,68,0.75,0.176471
8505,0-25%,124,0.475806,0.112903
8505,25-50%,125,0.744,0.104
8505,50-75%,125,0.576,0.192
8505,75-100%,125,0.416,0.296
8508,0-25%,99,0.787879,0.111111
8508,25-50%,99,0.888889,0.141414
8508,50-75%,99,0.89899,0.171717
8508,75-100%,99,0.666667,0.242424
8511,0-25%,64,0.6875,0.125
8511,25-50%,65,0.676923,0.261538
8511,50-75%,65,0.753846,0.061538
8511,75-100%,65,0.923077,0.015385
8521,0-25%,66,0.393939,0.015152
8521,25-50%,67,0.537313,0.19403
8521,50-75%,67,0.447761,0.104478
8521,75-100%,67,0.402985,0.19403
8526,0-25%,100,0.72,0.15
8526,25-50%,101,0.732673,0.118812
8526,50-75%,101,0.594059,0.168317
8526,75-100%,101,0.722772,0.277228
8534,0-25%,69,0.536232,0.15942
8534,25-50%,69,0.710145,0.086957
8534,50-75%,69,0.666667,0.115942
8534,75-100%,70,0.871429,0.114286
8535,0-25%,65,0.246154,0.107692
8535,25-50%,66,0.30303,0.030303
8535,50-75%,66,0.757576,0.075758
8535,75-100%,66,0.530303,0.151515
8536,0-25%,101,0.693069,0.059406
8536,25-50%,102,0.617647,0.127451
8536,50-75%,101,0.910891,0.118812
8536,75-100%,102,0.598039,0.205882
8540,0-25%,102,0.77451,0.088235
8540,25-50%,103,0.718447,0.058252
8540,50-75%,103,0.796117,0.116505
8540,75-100%,103,0.699029,0.15534
8555,0-25%,75,0.786667,0.173333
8555,25-50%,76,0.881579,0.092105
